Келус, SapDD, Физический, Разрушение, Hp 1203, Def 460, Atc 620, Spid 100, D, https://honkai-star-rail.fandom.com/ru/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%BF%D1%80%D0%BE%D1%85%D0%BE%D0%B4%D0%B5%D1%86
Блейд, DD, Ветреной, Разрушение, 1400, 800, 420, 97, A, https://honkai-star-rail.fandom.com/ru/wiki/%D0%91%D0%BB%D1%8D%D0%B9%D0%B4
Жуань Мэй, Sap, Леденой, Гармония, 1100, 400, 520, 100, S, https://honkai-star-rail.fandom.com/ru/wiki/%D0%96%D1%83%D0%B0%D0%BD%D1%8C_%D0%9C%D1%8D%D0%B9
ХоХо, Hiler, Ветреной, Изобилие, 1434, 600, 420, 102, S, https://honkai-star-rail.fandom.com/ru/wiki/%D0%A5%D0%BE%D1%85%D0%BE
Броня, Sap, Ветреной, Гармония, 1200, 450, 520, 100, A, https://honkai-star-rail.fandom.com/ru/wiki/%D0%91%D1%80%D0%BE%D0%BD%D1%8F
Доктор Рацио, DD, Мнимый, Охота, 1200, 450, 620, 100, A, https://honkai-star-rail.fandom.com/ru/wiki/%D0%94%D0%BE%D0%BA%D1%82%D0%BE%D1%80_%D0%A0%D0%B0%D1%86%D0%B8%D0%BE
Дань Хен, DD, Ветреной, Охота, 1150, 450, 540, 100, C, https://honkai-star-rail.fandom.com/ru/wiki/%D0%94%D0%B0%D0%BD%D1%8C_%D0%A5%D1%8D%D0%BD
Цзин Юань, DD, Электрический, Эрудикция, 1200, 450, 720, 99, A, https://honkai-star-rail.fandom.com/ru/wiki/%D0%A6%D0%B7%D0%B8%D0%BD_%D0%AE%D0%B0%D0%BD%D1%8C
Пела, Debaffer, Леденой, Небытие, 1100, 400, 450, 97, B, https://honkai-star-rail.fandom.com/ru/wiki/%D0%9F%D0%B5%D0%BB%D0%B0
Фу cюань, Defens, Квантовый, Сохранение, 1489, 600, 600, 100, S, https://honkai-star-rail.fandom.com/ru/wiki/%D0%A4%D1%83_%D0%A1%D1%8E%D0%B0%D0%BD%D1%8C
Гепардт, Defens, Леденой, Сохранение, 1356, 890, 400, 97, B, https://honkai-star-rail.fandom.com/ru/wiki/%D0%93%D0%B5%D0%BF%D0%B0%D1%80%D0%B4
